IDN,NEFNNR,NEFNR,NEFPR,NEFPPR,NEFNENR,NEFNCR,NEFPCR,NEFER,NEFECR,NITDR,NITFR,NITAR,NITMR,NITCDFR,NITCFAR,NITER,NITAIR,NITCFAIR,NITEIR,NPDRR,NPDDR,NAMBR,NAFR,NIPPR,NIPDR,NIDGR,NIDPR,NIDDR,NTRANS,NINTER
05_09_01_AB106_GP.xlsx,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.7,0.8,0.1,0.3,0.8,0.1,0.1,0.7,0.4,0.6,0.5,0.2,0.0,0.0,0.0,0.0,0.0
05_09_02_AB106_GP.xlsx,0.1,0.1,0.2,0.2,0.4,0.2,0.4,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,-0.14285714285714285,0.5,0.7,0.2,0.3,0.6,0.3,0.3,0.6,0.2,0.0,0.0,0.0,0.0,1.0
05_12_01_BA205_MD.xlsx,0.7,0.0,0.3,0.0,0.0,0.7,0.3,-1.1,-0.4,0.0,0.7,0.3,0.0,0.7,1.0,0.3,0.3,1.0,0.3,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
05_12_01_BA205_ZVT.xlsx,0.0,0.0,0.3,0.1,0.6,0.0,0.4,0.5,0.4,0.2,0.5,0.3,0.0,0.7,0.8,0.1,0.3,0.8,0.1,0.1,0.0,0.1,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0
05_12_02_BA202_JIN.xlsx,0.0,0.0,0.6,0.1,0.4,0.0,0.6,0.7,0.6,0.4,0.1,0.2,0.3,0.5,0.3,-0.2857142857142857,0.5,0.6,0.1,0.0,0.8,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,2.0
05_16_01_AB205_JIN.xlsx,0.2,0.2,0.4,0.1,0.3,0.3,0.4,0.0,0.1,0.2,0.3,0.4,0.1,0.5,0.7,0.2222222222222222,0.5,0.8,0.3,0.5,0.0,0.8,0.0,0.4,0.4,0.0,0.2,0.2,0.0,0.0
05_16_02_AB202_GP.xlsx,0.2,0.3,0.1,0.1,0.3,0.5,0.2,-0.4,-0.3,0.2,0.4,0.2,0.2,0.6,0.6,0.0,0.4,0.8,0.2,0.1,0.0,0.0,0.2,0.6,0.2,0.0,0.1,0.1,0.0,0.0
05_16_03_AB201_JIN.xlsx,0.0,0.1,0.4,0.4,0.1,0.1,0.8,1.1,0.7,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.2,0.0,0.2,0.3,0.9,0.0,0.0,0.0,0.0,0.0,1.0
05_16_04_AB203_JIN.xlsx,0.0,0.4,0.3,0.2,0.2,0.4,0.5,0.2,0.0,0.2,0.2,0.5,0.1,0.4,0.7,0.3333333333333333,0.6,0.8,0.4,0.4,0.2,0.1,0.2,0.5,0.0,0.0,0.0,0.0,1.0,3.0
05_16_05_AB204_GP.xlsx,0.0,0.0,0.1,0.0,0.9,0.0,0.1,0.1,0.1,0.2,0.3,0.1,0.4,0.5,0.4,-0.16666666666666666,0.5,0.8,0.3,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,3.0
